S#No#,State Code,State Name ,District Code,District Name ,Sub-District Code,Sub-District Name,Village Code,Village Version,Village Name,Village Name Local,Village Status,Census 2001 Code,Census 2011 Code,SheetName,,,
1,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3552,1,Badaran,,Inhabitant,226300,3552,Report$,,,
2,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3564,1,Dadran Khandi Pora,,Inhabitant,227500,3564,Report$,,,
3,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,936446,1,Mamal,,Inhabitant,,0,Report$,,,
4,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3560,1,Malik Gund,,Inhabitant,227100,3560,Report$,,,
5,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3561,1,Manzi Gam,,Inhabitant,227200,3561,Report$,,,
6,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3522,1,Lidroo,,Inhabitant,223200,3522,Report$,,,
7,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3557,1,Srangsoo,,Inhabitant,226800,3557,Report$,,,
8,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3549,1,Logri Pora,,Inhabitant,225900,3549,Report$,,,
9,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3519,1,Lari Pora,,Inhabitant,222900,3519,Report$,,,
10,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,936447,1,Nunwani,,Inhabitant,,0,Report$,,,
11,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,936445,1,Pahalgam,,Inhabitant,,0,Report$,,,
12,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,936448,1,Tulhard,,Inhabitant,,0,Report$,,,
13,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3573,1,Singh Pora,,Inhabitant,228400,3573,Report$,,,
14,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3569,1,Chandri Gam,,Inhabitant,228000,3569,Report$,,,
15,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3570,1,Hassan Noor,,Inhabitant,228100,3570,Report$,,,
16,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3562,2,Chanigam,,Inhabitant,227300,3562,Report$,,,
17,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3574,2,Silegam,,Inhabitant,228500,3574,Report$,,,
18,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3518,2,Mandllana,,Inhabitant,222800,3518,Report$,,,
19,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3572,2,Rakh Chandipora,,Inhabitant,228300,3572,Report$,,,
20,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3520,2,Firslan,,Inhabitant,223000,3520,Report$,,,
21,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3565,2,Hapratnard,,Inhabitant,227600,3565,Report$,,,
22,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3567,2,Khyar,,Inhabitant,227800,3567,Report$,,,
23,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3571,2,Now Gam,,Inhabitant,228200,3571,Report$,,,
24,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3558,2,Karshangam,,Inhabitant,226900,3558,Report$,,,
25,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3563,2,Shumahall,,Inhabitant,227400,3563,Report$,,,
26,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3568,2,Yall,,Inhabitant,227900,3568,Report$,,,
27,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3530,2,Srichen,,Inhabitant,224000,3530,Report$,,,
28,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,923334,2,Gojran Batkout,,Inhabitant,,0,Report$,,,
29,1,JAMMU AND KASHMIR,1,ANANTNAG,53,Pahalgam,3517,2,Aru,,Inhabitant,222700,3517,Report$,,,
